35217,AL,BIRMINGHAM,33.586822,-86.7718017,17366
35218,AL,BIRMINGHAM,33.5061087,-86.8972854,12137
35221,AL,BIRMINGHAM,33.4501267,-86.8972854,5850
35222,AL,BIRMINGHAM,33.5251664,-86.7667756,10035
35223,AL,MOUNTAIN BROOK,33.4796083,-86.73660819999999,11117
35224,AL,BIRMINGHAM,33.5297328,-86.94738799999999,7894
35226,AL,BLUFF PARK,33.4014982,-86.8561014,23992
35228,AL,MIDFIELD,33.4614965,-86.90888079999999,9294
35233,AL,BIRMINGHAM,33.5065561,-86.80445859999999,842
35234,AL,BIRMINGHAM,33.5373948,-86.80696979999999,10928
35235,AL,CENTER POINT,33.6226176,-86.64599439999999,15873
35242,AL,SHOAL CREEK,33.4337464,-86.62161979999999,16228
35243,AL,CAHABA HEIGHTS,33.4639953,-86.7319322,13091
35244,AL,HOOVER,33.4053867,-86.8113781,9758
35401,AL,TUSCALOOSA,33.1690726,-87.6383797,42124
35404,AL,HOLT,33.2340066,-87.48444889999999,21997
35405,AL,TUSCALOOSA,33.1225986,-87.55936129999999,23663
35406,AL,TUSCALOOSA,33.3456008,-87.48020679999999,12578
35441,AL,STEWART,32.91346,-87.707565,1745
35442,AL,ALICEVILLE,33.1295681,-88.15141659999999,5196
35443,AL,BOLIGEE,32.7559654,-88.02890719999999,1073
35444,AL,BROOKWOOD,33.2556719,-87.3208336,2319
35446,AL,BUHL,33.2051326,-87.7664934,1662
35447,AL,CARROLLTON,33.2617871,-88.0950263,5007
35452,AL,COKER,33.2459512,-87.6877882,5747
35453,AL,COTTONDALE,33.18944400000001,-87.451667,4727
35456,AL,DUNCANVILLE,33.0629743,-87.44654860000001,5514
35457,AL,ECHOLA,33.298071,-87.78371179999999,223
35458,AL,ELROD,33.256111,-87.792222,809
35459,AL,EMELLE,32.7292998,-88.3144755,491
35460,AL,EPES,32.6904114,-88.1261339,1391
35461,AL,ETHELSVILLE,33.4156743,-88.21669910000001,719
35462,AL,EUTAW,32.8406848,-87.8875145,6586
35463,AL,FOSTERS,33.094722,-87.685833,2100
35464,AL,GAINESVILLE,32.8209639,-88.158914,1051
35466,AL,GORDO,33.3201178,-87.9027962,4333
35469,AL,KNOXVILLE,33.0491169,-87.84515270000001,373
35470,AL,COATOPA,32.486839,-88.0685419,6055
35474,AL,CYPRESS,32.947778,-87.666944,2659
35476,AL,NORTHPORT,33.2300079,-87.5939487,20114
35480,AL,RALPH,33.042999,-87.76194,927
35481,AL,REFORM,33.378451,-88.01530079999999,4062
35490,AL,VANCE,33.1742847,-87.23360919999999,1234
35501,AL,JASPER,33.8312185,-87.2775053,30600
35540,AL,ADDISON,34.2023243,-87.1814012,3263
35541,AL,ARLEY,34.0789929,-87.2122325,2645
35542,AL,BANKSTON,33.6717,-87.6740109,651
35543,AL,BEAR CREEK,34.2748197,-87.7005833,3748
35544,AL,BEAVERTON,33.9312162,-88.0203075,1014
35546,AL,BERRY,33.6598332,-87.6000098,4887
35548,AL,BRILLIANT,34.0253797,-87.7583574,2515
35549,AL,CARBON HILL,33.89177420000001,-87.52612359999999,3597
35550,AL,CORDOVA,33.7598291,-87.18333489999999,5273
35552,AL,DETROIT,34.0281608,-88.17003679999999,938
35553,AL,DOUBLE SPRINGS,34.1464916,-87.40223859999999,4797
35554,AL,ELDRIDGE,33.9228835,-87.61723889999999,421
35555,AL,FAYETTE,33.6845539,-87.8308522,10776
35563,AL,GUIN,33.9656594,-87.91474939999999,3948
35564,AL,HACKLEBURG,34.27732,-87.8286423,2828
35565,AL,HALEYVILLE,34.226488,-87.6214133,9141
35570,AL,HAMILTON,34.1423235,-87.98864379999999,11184
35571,AL,HODGES,34.3270425,-87.9264233,798
35572,AL,HOUSTON,34.1414925,-87.2580686,429
35574,AL,KENNEDY,33.5870574,-87.9844674,3618
35575,AL,LYNN,34.0470483,-87.54974,1778
35576,AL,MILLPORT,33.5634478,-88.0814159,2286
35578,AL,NAUVOO,33.9895503,-87.4889033,5004
35579,AL,OAKMAN,33.7134432,-87.3886157,3700
35580,AL,PARRISH,33.7306642,-87.2844473,4775
35581,AL,PHIL CAMPBELL,34.3509298,-87.706418,5345
35582,AL,RED BAY,34.4398202,-88.1408747,5159
35585,AL,SPRUCE PINE,34.3925138,-87.7282079,465
35586,AL,SULLIGENT,33.9017738,-88.1344776,4489
35587,AL,TOWNLEY,33.8289975,-87.431675,1819
35592,AL,VERNON,33.7570541,-88.1089185,4752
35593,AL,VINA,34.3764873,-88.05864969999999,888
35594,AL,WINFIELD,33.928993,-87.8172457,6750
35601,AL,DECATUR,34.627813,-87.0424393,36696
35603,AL,DECATUR,34.6059253,-86.9833417,17861
35610,AL,ANDERSON,34.9284179,-87.266407,2039
35611,AL,ATHENS,34.8028661,-86.9716741,35441
35616,AL,CHEROKEE,34.7570342,-87.9728143,4811
35618,AL,COURTLAND,34.6689794,-87.3094649,2733
35619,AL,DANVILLE,34.4145408,-87.08751199999999,4614
35620,AL,ELKMONT,34.9289743,-86.9738959,8013
35621,AL,EVA,34.3323178,-86.758888,3977
35622,AL,FALKVILLE,34.3684295,-86.908616,5392
35630,AL,FLORENCE,34.8287425,-87.6482474,38725
35633,AL,FLORENCE,34.79981,-87.677251,16478
35640,AL,HARTSELLE,34.4434282,-86.9352842,17963
35643,AL,HILLSBORO,34.639258,-87.1916834,1967
35645,AL,KILLEN,34.8628637,-87.5375253,11758
35646,AL,LEIGHTON,34.700923,-87.52891509999999,3046
35647,AL,LESTER,34.9906391,-87.1533469,3108
35648,AL,LEXINGTON,34.96925,-87.3711316,2241
35650,AL,MOULTON,34.4812062,-87.29335329999999,17288
